"","WDID","X","STATUS","SPILL.ID","CERT.PERSON.NAME","STEP","CERT.PERSON.TITLE","CERT.LOCATION","CERT.ID","SPILL.CREATED.DT","SUBMIT.DRAFT.DATE","ORIGINAL.CERTIFIED.DATE","CERT.DT","SPILL.TYPE","SPILL.VOL.REACH.LAND","SPILL.VOL","SPILL.VOL.RECOVER","SPILL.VOL.REACH.SURF","REACH_SURFACE","REACH.STORM.DRAINPIPE","RETURN.TO.SSS","SPILL.LOC.NAME","LATTITUDE.DECIMAL.DEGREES","LONGITUDE.DECIMAL.DEGREES","COUNTY","REGIONAL.BOARD","SPILL.LOC.DESC","SSO.NUMBER.APPEAR.POINTS","APPEAR.PT","APPEAR.PT.EXPLAIN","FINAL.SPILL.DEST","FINAL.SPILL.DEST.EXPL","START.DT","AGENCY.NOTIFY.DT","OPRTOR.ARRVL.DT","EST.END.DT","SPILL.CAUSE","SPILL.CAUSE.EXPLAIN","WHERE.FAILURE.OCCUR","WHERE.FAIL.OCCUR.EXP","SSO.Storm.Associated","DIAMETER.OF.SEWER","MATERIAL.SEWER_PIPE","AGE_SEWER_PIPE","RESPONSE.ACTIVITIES","RESPONSE.ACTIVITIES.EXPL","RESPONSE.COMPLETE.DT","RESPNS_CORCT_ACTN_TAKEN","SSO.CRCTIVE.ACTION.TAKEN.EXPL","ONGOING.INVESTIGATE","REASON.INVESTIGATE","VISUAL.INSPCT.RESULT","HEALTH.WARNING.POST","SSO.IF.IMPACT.BEACH","BEACH.IMPACT","SURFACE.WATER.IMPACT","SAMPLE.ANALYZE.FOR","SMPLS_ANALYZE_FOR_EXPL","SAMPLE.REPORTED.TO","SMPLS.REPORT.TO.EXPL","SSO.VOLUME.METHOD","OES.CONTROL.NUMBER","OES.CONTROL.DT","SSO.OPERATOR.NAME","SSO.OPERATOR.PHONE","Status","Region","Agency","Collection.System","County","LRO","Street","City","Zip"
"46528","6SSO11169",46500,"Active",760056,"Gina Cloutier","Certified","Laboratory/Environmental Compliance Supervisor","Victor Valley Wastewater Reclamation Authority, Victorville, CA",816440,"31-DEC-10","11/17/2013","06-JAN-11","11/20/2013","Category 1",0,42900000,0,42900000,"Yes","No","Not Applicable - Spill did not reach a separate storm drainpipe","Upper Narrows  MH5-1 to MH5-8, City of Victorville",34.320215,-117.171615,"San Bernardino",6,"Spill occured between MH5- 3 & MH5-4 located in the river, and flowed into the Mojave River.",1,"Gravity Mainline"," ","Other (specify below)","Mojave River","12/25/2010 12:00","12/29/2010 13:30","12/29/2010 13:30","01/10/2011 13:35","Other (specify below)","The interceptor at issue is buried in the river bed and the point of failure is not visible nor accessible for inspection.  A definitive assessment of the cause of failure cannot be determined.  Although no definitive conclusion can be reached regarding the cause, it is possible that heavy rainfall and high river flows caused the river bed to shift and carried heavy debris as significant speed, both of these conditions could have resulted in the damage to the sewer line.","Gravity Mainline"," ","Yes",36,"clay"," ","Other (specify below);Inspected sewer using CCTV to determine cause","Set up 2 interceptor bypasses and plugged the damaged interceptor to eliminate spill. These bypasses will be ongoing until replacement of the damaged interceptor is completed.  Samples were collected and analyzed each day of the spill.","01/15/2011 12:00","Inspected Sewer Using CCTV to Determine Cause;Other (specify below);Plan rehabilitation or replacement of sewer","Set up 2 interceptor bypasses and plugged the damaged interceptor to eliminate spill. These bypasses will be ongoing until replacement of the damaged interceptor is completed.","Yes","The i"," ","Yes","No","","Mojave River","Dissolved oxygen;Other chemical indicator(s) - specify below;Biological indicator(s) - specify below;Other (specify below)","Water quality samples were collected and analyzed for all parameters listed under the current board order for final effluent discharge limitations.","Regional Water Quality Control Board"," ","See attached report entitled  Spill Assessment Report in Response to Investigative Order No. R6V-2011-007  for detailed information regarding spill volume estimation.","107957","12/29/2010 14:11","Gina Cloutier","7602468638241","Active","6V","Victor Valley Wastewater Reclamation Authority","Victor Valley Wastewater CS","San Bernardino","Latif  Laari","20111 Shay Road ","Victorville",92394
"18769","4SSO10362",18777,"Active",791863,"Claudine Meeker","Certified","Deputy Director of Utilities","Alhambra, CA",650409,"21-FEB-13","02/21/2013","26-FEB-13","02/26/2013","Category 1",NA,11536234,0,11536234,"Yes","Yes","No","Granada Park Pool",34.06966,-118.14548,"Los Angeles",4,"Illicit connection from City owned building sewer lateral to storm drain pipe.",NA,"Other (specify)","Sewer lateral from City owned building.","Separate storm drain"," ","08/22/2012 00:00","08/22/2012 15:30","08/22/2012 15:40","08/22/2012 16:00","Other (specify below)","Illicit connection - sewer lateral from City owned building connected to the storm drain pipe.","Other (specify below)","Sewer lateral - City owned.","",4,"Steel","16","Cleaned-up (mitigated effects of spill);Inspected sewer using CCTV to determine cause;Other (specify below)","Water service was terminated for the building.   Storm drain flushed and water captured and discharged to the sanitary sewer.","08/23/2012 12:00","Other (specify below)","Illicit connection was terminated.  Sewer lateral was connected to the sanitary sewer system.","No",""," ","No",""," ","Laguna Wash","No water quality samples taken"," ","No water quality samples taken"," ","","125027","08/22/2012 17:05","","","Active","4","Alhambra City","Alhambra City CS","Los Angeles","David  Dolphin","111 First Street ","Alhambra",91801
"43820","5SSO11311",43830,"Active",828544," ","Submit Draft"," "," ",NA,"27-SEP-16","09/27/2016",""," ","Category 1",0,9771377,0,9771377,"Yes","No","Not Applicable - Spill did not reach a separate storm drainpipe","MD22A Upper Pumphouse",37.32965,-119.67876,"Madera",5,"Next to the upper pumphouse in the sprayfield's of Oakhurst WWTF 30 feet of the corner of the building.",1,"Force Main"," "," "," ","09/25/2016 17:00","09/26/2016 09:30","09/26/2016 09:30","09/26/2016 13:00","Pipe Structural Problem/Failure"," ","Force Main","The 16  Force Main bringing treated effluent from the Oakhurst WWTP to the upper effluent reservoir had a pipeline break. This break occurred down the entire 20 foot section of 16  C905 lineally.  There is no check valves in line with the pond for fire protection purposes, thus draining effluent from the pond.","No",16,"C905 PVC","11","Other Enforcement Agency Notified","OES was notified upon the discovery of the pipe break. All agencies required came onsite to evaluate what remediation would be required. The spill was investigated and possible cause and effect was evaluated. There was no readable chlorine residual at the point of the spill, the point of entry for the spill entering the fresno river, and no chlorine detectable anywhere. Since the water was treated, it was decided by fish and game environmental scientist, and SWRCB that no cleanup is necessary and is unfeasible. All aquatic life impacted by the spill showed no effect. Fish, frogs, plants and all other native species was thriving.","09/26/2016 22:03","Other (specify below);Plan rehabilitation or replacement of sewer;Repaired Facilities or Replaced Defect","Evaluate current sewer infrastructure to determine if this scenario can happen again, and if it can, how can it be mediated.","Yes","To pr","No adverse results noted","No","No","","Fresno River","Other (specify below)","Water was tested for chlorine in multiple locations from the origin of the spill down to miles downstream. The bacteriological samples were ruled to be unnecessary by SWRCB because the river previously was not flowing.","No water quality samples taken;Not applicable to this spill","SWRCB","The amount of Effluent reservoir capacity last recorded plus the daily flow from the previous reservoir freeboard  reading.","165882","09/26/2016 09:30","Chad Brown-CPO","5595177152","Active","5F","Madera County Public Works Department - Special Districts","MD-22A Oakhurst CS","Madera","Chad  Brown","200 4th Street ","Madera",93637
"50670","9SSO11209",50645,"Active",648700,"Cari Dale","Certified","Public Works Manager","Carlsbad, CA",458368,"02-APR-07","","30-APR-07","07/02/2007","Category 1",NA,7329000,5863200,7329000,"Yes","Yes","No","Force main/100 yards NW of Jefferson/Marron",33.18,117.34,"San Diego",9,"force main located along embankment of Buena Vista lagoon",NA,"Force main or pressure sewer"," ","Beach","Buena Vista Lagoon","03/31/2007 00:00","04/01/2007 18:52","04/01/2007 18:55","04/03/2007 12:53","Other (specify below)","Investigation to the cause is ongoing, preliminary report indicates external corrosion  *recovered volume is estimated to be 80% of the spilled volume, pending more detailed calculations","","","",24," ","25","Cleaned-up (mitigated effects of spill);Contained all or portion of spill;Returned all or portion of spill to sanitary sewer system;Other (specify below)","City crews and neighboring agencies responded as soon as the spill was known.  Specialty contractor was hired to install sheet piling to isolate the pipe from the lagoon water.  Additional contractor was hired to excavate and complete the pipe repair.  Pumping trucks and vactors were brought in to divert a portion of the flow to a gravity line.  Additional flows were diverted to the City of Oceanside.  Water from the lagoon was pumped back into the wastewater system for treatment.  Aeration and circulation were performed to increase oxygen levels for habitat.","04/16/2007 16:00","Adjusted schedule/method of preventive maintenance;Repaired sewer;Other (specify below)","Additional technologies are being explored to conduct a condition assessment.  Leak detection enhancements are also being explored.","Yes","","Aerial inspection done with Fish and Game staff and City environmental staff.","Yes","","","Buena Vista Lagoon","Dissolved oxygen;Biological indicator(s) - specify below","Fecal, Total and Enterococcus","County Health Agency;Regional Water Quality Control Board"," ","","072061","04/02/2007 02:00","","","Active","9","Carlsbad MWD","Carlsbad MWD CS","San Diego","Wendy  Chambers","5950 El Camino Real  ","Carlsbad",92008
"49833","9SSO10658",49808,"Active",820915,"Agnes Generoso","Certified","Deputy Director","San Diego, CA",920246,"12-JAN-16","01/22/2016","22-JAN-16","02/24/2016","Category 1",0,6750734,188640,6750734,"Yes","No","Not Applicable - Spill did not reach a separate storm drainpipe","SR#3876900",32.80677,-117.19353,"San Diego",9,"Tecolote Creek Canyon",1,"Gravity Mainline","A section of 15 inch pipe was broken off due to unprecedented flooding and severe erosion as a consequence of the recent El Nino storm.","Beach;Drainage Channel;Surface Water","Sewer entered the creek and reached Mission Bay","01/05/2016 20:00","01/10/2016 09:08","01/10/2016 10:45","01/10/2016 18:00","Natural Disaster","A section of 15 inch pipe was broken off due to unprecedented flooding and significant erosion as a result of the recent El Nino storm.","Gravity Mainline"," ","Yes",15,"VC"," ","Mitigated Effects of Spill;Other (specify below);Returned Portion of Spill to Sanitary Sewer System","Set up bypass and containment to stop the overflow. In addition, open the interceptor down stream of the break to redirect sewage back into the system. Implemented pumping operations of sewage in the creek.","01/10/2016 20:00","Other (specify below)","This section of main in the canyon is being relocated away from the embankment to protect from future erosion. The current section of pipe has been bypassed pending relocation of main.","No"," ","The creek level rose to the level of the embankment and with such force causing extensive damage throughout the canyon and private property.","Yes","Yes","Mission Bay and Fiesta Island","Tecolote Creek tributary to Mission Bay","Biological indicator(s) - specify below","Coliform  Enterococcus","County Health Agency","County Health and Storm Water Pollution","Calculations using flow metering and sewer modeling data.","160206","01/10/2016 20:00","Eddie Salinas Principal Water Utility Supervisor","8586144006","Active","9","San Diego City Metropolitan Wastewater Dept (Public Utilities)","San Diego City CS (Wastewater Collection System)","San Diego","Agnes Generoso","9192 Topaz Way ","San Diego",92123
"48323","8SSO10597",48296,"Active",759769,"Isaiah Hall","Certified","Collection Division Supervisor","3:30 pm",603240,"23-DEC-10","12/23/2010","31-JAN-11","01/31/2011","Category 1",NA,5891334,0,5891334,"Yes","Yes","No","Running Springs Sewer Interceptor",34.201111,-117.134167,"San Bernardino",8,"Spill is approximately 1/4 mile southwest of Fredalba rd on an easement in Little mill canyon. The sewer interceptor to the treatment plant was located in the canyon and was washed out during the December 22, 2010 storm at approximately 0530 at that time the flows were recorded at the treatment plant at 1200 gpm. We are currently attempting to make the repairs using all staff and outside contractors. Duration of repair unknown as the canyon is severly flooded and attempts to gain acces in the creek are extremely dangerious.",NA,"Gravity sewer"," ","Surface water"," ","12/22/2010 05:30","12/22/2010 05:30","12/22/2010 05:30","12/28/2010 07:15","Other (specify below)","Flood on 12/22/2010 washed out the canyon the interceptor was located in. Large boulder crushed the concrete blanket and pipe.","Other (specify below)","The failure occured in Little Mill Canyon between manholes 38 and 36. Manhole 37 is severely damaged.","",15,"ACP","41","Other (specify below)","We are in the process of replaceing the sewer main. We will have to reroute the main away from the creek. The creek is still severly flooded and inaccesible.","12/28/2010 07:15","Other (specify below)","This entire section of main  including three manholes are being  bypassed and replaced. The flood destroyed approximately 400 feet of main line including three manholes. We are unable to attempt a temp. bypass due to the inaccesability of the line. We are relocating the entire mainline.","Yes","","The creek had visual signs of sewer debris and has been cleaned up. Cleanup took from 12/28/2010 to 1/2/2011","No","","Unknown","Little Mill Creek","Biological indicator(s) - specify below","Samples were taken above, at the site and below. Samples taken were BOD, NFR and BACTERIAL","Regional Water Quality Control Board","Sample results will be submitted to SWRCQB Santa Anna Region","","107740","12/22/2010 06:30","","","Active","8","Running Springs Water Dist","Running Springs CS","San Bernardino","Isaiah Hall","31242 Hilltop Boulevard ","Running Springs",92382
"50126","9SSO10674",50101,"Active",759981,"Jeremy Kemp","Certified","Utility Supervisor","City of Oceanside",906581,"29-DEC-10","12/29/2010","03-JAN-11","01/03/2011","Category 1",NA,5500000,0,5500000,"Yes","No","Not Applicable - Spill did not reach a separate storm drainpipe","City of Oceanside",33.365833,-117.542778,"San Diego",9,"Haymar easement that paralles the 78 Freeway",NA,"Gravity sewer","Broken 15 inch VCP gravity main with liner","Beach;Surface water;Other (specify below)","Pipe broke in Buena Vista Creek, which went into Buena Vista Lagoon, and then entered the Ocean.","12/23/2010 00:00","12/28/2010 09:30","12/28/2010 09:30","12/28/2010 11:00","Pipe structural problem/failure","Exposed 15 inch clay pipe with liner blew out in creek bed.","Main","VCP gravity main with liner separated in creek.","",15,"VCP","1961","Other (specify below)","Temporarily bypassing flow into neighboring City line.","12/28/2010 16:00","Plan rehabilitation or replacement of sewer;Other (specify below)","Pipe has been in the works for re-alignment for years. 100% designed and just waiting for the proper permits.","Yes",""," ","Yes","","South Oceanside / St. Malo","Buena Vista Creek, Buena Vista Lagoon, Pacific Ocean","Other (specify below)","Routine samples were taken on Monday; Dec. 27th along the beach. Samples were also taken on Dec. 30th and 31st in relation to the spill.","County Health Agency","All samples taken were maxed due to the heavy rain event.","","107914","12/28/2010 15:50","","","Active","9","Oceanside City","City of Oceanside Collection System, La Salina WWTP","San Diego","Lori Rigby","300 Coast Highway ","Oceanside",92054
"9534","2SSO10170",9542,"Active",778632,"Mary Phelps","Certified","Source Control Inspector III","Richmond, CA",726802,"14-MAR-12","03/14/2012","05-APR-12","04/05/2012","Category 1",NA,5415333,0,5415333,"Yes","Yes","No","Harbour & Wright Ave",37.92084,-122.36006,"Contra Costa",2,"Overflow weir at Harbour Way South and Wright",NA,"Other sewer system structure","Engineered overflow weir","Surface water","Santa Fe Channel","03/14/2012 06:03","03/14/2012 06:15","03/14/2012 06:15","03/15/2012 00:59","Flow exceeded capacity (Separate CS Only)","Severe storm event caused system to be hydraulically overloaded","Main","System is currently hydraulically overloaded to do on-going severe storms.","",NA," "," ","Other (specify below)","Unable to clean up spill. Spill is currently discharging to Santa Fe Channel through an engineered overflow weir","03/15/2012 00:59","Plan rehabilitation or replacement of sewer"," ","Yes",""," ","Yes","","None. Boat Ramp Rd has public access for Kayaking. Will post health warning signs.","San Francisco Bay","Biological indicator(s) - specify below","Coliform and fecal coliform","County Health Agency"," ","","121458","03/14/2012 06:47","","","Active","2","Richmond City","Richmond City CS","Contra Costa","Ryan Anthony Smith","450 Civiv Center Plaza  ","Richmond",94804
"4073","2SSO10131",4081,"Active",831776,"Maura Bonnarens","Certified","Manager Wastewater Treatment Division","1610",385179,"13-JAN-17","01/25/2017","25-JAN-17","01/25/2017","Category 1",0,4853000,0,4853000,"Yes","No","Not Applicable - Spill did not reach a separate storm drainpipe","EBMUD Overflow Structures - See Item 11 Description for Details",37.834033,-122.294044,"Alameda",2,"Interceptor System Overflowed out of Three Overflow Structures to San Francisco Bay  1) Temescal Creek Overflow Structure, Shellmound Street, Emeryville, CA - 3,239,000 gallons  2) Alice Street Overflow Structure, Alice Street, Oakland, CA - 987,000 gallons  3) Alameda Overflow Structure, Webster Street, Oakland, CA - 627,000 gallons",3,"Other sewer system structure","Overflow structures in interceptor system","Surface Water"," ","01/11/2017 00:25","01/11/2017 00:30","01/11/2017 07:30","01/11/2017 03:36","Other (specify below)","All five pumps at the influent pump station at the EBMUD Main Wastewater Treatment Plant (MWWTP) lost control power and did not operate from approximately 2330 on 2017-01-10 to 0130 on 2017-01-11. Extreme weather conditions in the area led to a voltage sag at 2330 in the 115 kV PGE power lines feeding the MWWTP. This created a current surge at the MWWTP and the uninterruptable power supply system (UPS) at the influent pump station switched to the battery backup system for power feed. One of the cells in the backup battery system failed so the UPS switched back to the PGE power, and the current surge in PGE¿s supply lines tripped the breaker for the UPS. This tripped breaker prevented all power from reaching the control systems for the five pumps at the influent pump station. Very high flow rates in the collection system were present at this time which caused the overflow to happen much faster than it would have in normal conditions.","Other (specify below)","The PGE voltage sag led to the failure of the UPS which powers the control system for the five pumps at the Main Wastewater Treatment Plant.","Yes",NA," "," ","Other (specify below);Restored flow;Other Enforcement Agency Notified","Posted public warning signs  Took water quality samples in affected areas","01/11/2017 09:00","Repaired Facilities or Replaced Defect","The UPS battery bank was disconnected from the UPS, the UPS was put into bypass, and the breaker reset by a qualified Electrician.  The bypassing of the UPS restored control power to the pumps and DCS about 0130 on 2017-01-11.","No"," "," ","Yes","No","","Temescal Creek, 250 feet upstream of San Francisco Bay  Oakland Inner Harbor portion of San Francisco Bay","Dissolved oxygen;Other chemical indicator(s) - specify below;Biological indicator(s) - specify below","Ammonia, Enterococcus, Total Coliform, Fecal Coliform","County Health Agency;Regional Water Quality Control Board"," ","Interceptor and receiving water levels from instrumentation fed into spreadsheet containing algorithms for determining volume.","170317","01/11/2017 01:35","Chris Dembiczak","5102870509","Active","2","East Bay MUD (CS & SSOs)","Ebmud CS","Alameda","Maura Bonnarens"," PO Box 24055  704","Oakland",94623
"9487","2SSO10170",9495,"Active",763331,"Bill Lindsay","Certified","City Manager","City Hall",655240,"18-FEB-11","02/18/2011","21-JUL-11","07/21/2011","Category 1",NA,4842726,0,4842726,"Yes","Yes","No","860 Harbour Way South",37.92,-122.35946,"Contra Costa",2,"",NA,"Other sewer system structure","Overflow weir","Surface water"," ","02/18/2011 00:00","02/18/2011 21:55","02/18/2011 21:55","02/19/2011 22:34","Other (specify below)","System reached maximum hydraulic capacity and discharged at overflow weir.","Main"," ","",NA," "," ","Other (specify below)","Unable to cleanup until after rain stops","02/19/2011 22:34","Plan rehabilitation or replacement of sewer"," ","Yes",""," ","Yes","","Keller Beach","Santa Fe Channel & San Francisco Bay","Biological indicator(s) - specify below","Total coliform","County Health Agency;Regional Water Quality Control Board"," ","","111011","02/18/2011 22:22","","","Active","2","Richmond City","Richmond City CS","Contra Costa","Ryan Anthony Smith","450 Civiv Center Plaza  ","Richmond",94804
