,WDID,STATUS,SPILL_ID,SPILL_LOC_NAME,SPILL_VOL,REACH_SURFACE,REACH_STORM_DRAINPIPE,RETURN_TO_SSS,SPILL_VOL_RECOVER,SPILL_VOL_REACH_SURF,LATTITUDE_DECIMAL_DEGREES,LONGITUDE_DECIMAL_DEGREES,ADDRESS,CITY,ZIP,SPILL_LOC_DESC,APPEAR_PT,APPEAR_PT_EXPLAIN,FINAL_SPILL_DEST,FINAL_SPILL_DEST_EXPL,START_DT,AGENCY_NOTIFY_DT,OPRTOR_ARRVL_DT,EST_END_DT,SPILL_CAUSE,SPILL_CAUSE_EXPLAIN,SSO_PLSD_SOURCE_PLSD,SSO_PLSD_SOURCE_EXPLAIN,WHERE_FAILURE_OCCUR,WHERE_FAIL_OCCUR_EXP,DIAMETER_OF_SEWER,MATERIAL_SEWER_PIPE,AGE_SEWER_PIPE,RESPONSE_ACTIVITIES,RESPONSE_ACTIVITIES_EXPL,Unnamed: 35
0,1SSO10001,Active,658190,1061 hallen drive,90.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,90.0,0.0,40.901154,-124.079044,1061 hallen,arcata,95521.0,private lateral blockage from river community homes property,Manhole,150' up driveway on private property,Street/curb and gutter, ,15-SEP-07 05.00.00.000000 PM,09/15/2007 18:00,09/15/2007 17:20,15-SEP-07 06.30.00.000000 PM,Debris, , , ,Upper Lateral (Private), ,6,pvc,25,Contained all or portion of spill;Cleaned-up (mitigated effects of spill),used hydro and vactor truck to clear blockage and street sweeper/vaccuum truck to cleanup site and curbline,
1,1SSO10001,Active,710555,McMillan Ct,30.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,29.0,0.0,40.888992,-124.074404,2030 mcMillan,arcata,95521.0,Clean-out on property spill confined to landscaped area.,Other sewer system structure,SSCO at property,Unpaved surface, ,18-DEC-07 10.00.00.000000 PM,12/18/2007 22:00,12/18/2007 22:30,18-DEC-07 11.30.00.000000 PM,Debris, , , ,Lower Lateral (Private), ,6,pvc,15,Cleaned-up (mitigated effects of spill), ,
2,1SSO10001,Active,724019,wagner house at humboldt state university (HSU),10.0,Yes,Yes,No,0.0,10.0,40.875806,-124.0815,73 lk wood,arcata,,ssco at wagner house overflowed due to blockage,Gravity sewer, ,Storm drain, ,17-JUL-08 09.00.00.000000 AM,07/17/2008 09:00,07/17/2008 09:30,17-JUL-08 11.15.00.000000 AM,Debris, , , ,Lower Lateral, ,4,PVC,30,Contained all or portion of spill;Restored flow;Cleaned-up (mitigated effects of spill);Inspected sewer using CCTV to determine cause;Returned all or portion of spill to sanitary sewer system, ,
3,1SSO10001,Active,749048,kramer apts,5.0,No,No,Not Applicable - Spill did not reach storm drainpipe,5.0,0.0,40.87694,-124.0831,1945 g,arcata,95521.0,sump pump on property,Building or structure;Force main or pressure sewer, ,Street/curb and gutter, ,22-JAN-10 03.30.00.000000 PM,01/22/2010 15:30,01/22/2010 15:35,22-JAN-10 03.35.00.000000 PM,Pump station failure, ,,,Upper Lateral, , , , ,Cleaned-up (mitigated effects of spill);Contained all or portion of spill,Pump fixed,
4,1SSO10001,Active,759085,mad river parkway mexican restaurant,15.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,0.0,15.0,40.90313,-124.07787,1264 giuntoli,arcata,95521.0,lateral cleanout in driveway,Other (specify),clean-out,Unpaved surface, ,08-NOV-10 03.20.00.000000 PM,11/08/2010 15:20,11/08/2010 15:20,08-NOV-10 04.00.00.000000 PM,Debri-General, ,,,Lower Lateral, ,6,sdr,1,Restored flow, ,
5,1SSO10001,Active,765917,NW corne of 11th & F Streets,3.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,2.0,0.0,40.87017,-124.08412, ,,,,Other sewer system structure,Cleanout,Other paved surface, ,13-APR-11 02.10.00.000000 PM,04/13/2011 14:10,04/13/2011 14:15,13-APR-11 02.25.00.000000 PM,Other (specify below),Unknown plug in city lateral,,,Lower Lateral, , , , ,Cleaned-up (mitigated effects of spill);Inspected sewer using CCTV to determine cause, ,
6,1SSO10001,Active,776213,2979 Janes Creek Drive,10.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,0.0,0.0,40.88802,-124.08334,2979 Janes Creek,Arcata,95521.0,,Other (specify),Plug in private lateral,Unpaved surface, ,20-JAN-12 10.30.00.000000 PM,01/20/2012 22:30,01/21/2012 00:30,20-JAN-12 11.30.00.000000 PM,Other (specify below),Plug in private lateral,,,Lower Lateral, , , , ,Other (specify below),Could not locate source of backup; requested customer not to use facilities until 01/21/2012,
7,1SSO10001,Active,776890,1069 Q Street,20.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,0.0,0.0,40.87219,-124.09586,1069 Q,Arcata,95521.0,Dirt driveway of residence at 1069 Q Street,Gravity sewer,Dirt driveway of residence,Unpaved surface, ,06-FEB-12 03.11.00.000000 PM,02/06/2012 15:11,02/06/2012 15:21,06-FEB-12 03.30.00.000000 PM,Debri-Rags, ,,,Lower Lateral, , , , ,Cleaned-up (mitigated effects of spill), ,
8,1SSO10001,Active,777570,1056 11th Street,1987.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,1700.0,0.0,40.87143,-124.08884,1056 11th,Arcata,95521.0,Flat lot below street level  Below house in the crawl space,Gravity sewer, ,Unpaved surface, ,14-FEB-12 04.45.00.000000 PM,02/14/2012 17:10,02/14/2012 17:45,14-FEB-12 06.05.00.000000 PM,Debri-Rags, ,,,Lower Lateral, , , , ,Cleaned-up (mitigated effects of spill), ,
9,1SSO10001,Active,778690,3000 St. Louis Rd,50.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,0.0,0.0,40.88867,-124.081,3000 St. Louis,Arcata,95521.0,around cleanout in Dirt driveway,Gravity sewer,around cleanout,Unpaved surface, ,14-MAR-12 04.00.00.000000 PM,03/14/2012 19:30,03/14/2012 19:00,14-MAR-12 07.00.00.000000 PM,Root intrusion, ,,,Lower Lateral, ,6,PVC,15,Other (specify below),Digging and replacing broken section of pipe where root bal was located to fix the problem.,
