WDID	Status	Region	Agency	Collection System	County	LRO	Address Type	Street	City	Zip	Adopt Or Issuance Date	Effective Date	Expiration or Review Date	Termination Date	
1SSO10001	Active	1	Arcata City	Arcata City CS	Humboldt	Mark  Andre	AGENCY Mailing	736 F Street 	Arcata	95521		05/01/2007			
1SSO10003	Active	1	Bodega Bay PUD	Bodega Bay CS	Sonoma	Felix Hernandez	AGENCY Mailing	 PO Box 1895  	Santa Rosa	95402		08/24/2006			
1SSO10004	Active	1	Calpella CWD	Calpella CA WD CS	Mendocino	David Redding	AGENCY Mailing	 PO Box 115  	Calpella	95418		09/21/2006			
1SSO10005	Historical	1	New College of California	Camp Maacama CS	San Francisco	Paula  Alexander	AGENCY Mailing	777 Valencia Street 	San Francisco	94110		03/26/2006		11/11/2006	
1SSO10006	Active	1	Ca Dept of Corrections & Rehabilitation	Pelican Bay Prison CS	Del Norte	Eric  Hilligoss	AGENCY Mailing	9838 Old Placerville Road B	Sacramento	95827		11/17/2006			
1SSO10011	Active	1	Ca Dept of Parks & Rec Mendocino	CDPR Van Damme State Park CS	Mendocino	Freddie Heldstab	AGENCY Mailing	12301 Highway 1  Box 1	Mendocino	95460		04/10/2006			
1SSO10012	Active	1	Cotati City	Cotati City CS	Sonoma	Craig  Scott	AGENCY Mailing	201 Sierra Street 	Cotati	94931		01/02/2007			
1SSO10014	Active	1	Eureka City	Eureka City CS	Humboldt	Brian Gerving	AGENCY Contact	531 K Street 	Eureka	95501		01/02/2007			
1SSO10016	Active	1	Rohnert Park City	Rohnert Park City CS	Sonoma	John McArthur	AGENCY Mailing	130 Avram Avenue 	Rohnert Park	94928		10/25/2006			
1SSO10017	Active	1	Sebastopol City	Sebastopol City CS	Sonoma	Larry  McLaughlin	AGENCY Mailing	714 Johnson Street 	Sebastopol	95472		01/01/2006			
1SSO10018	Active	1	Willits City	Willits City CS	Mendocino	Perry Allen Fritz	AGENCY Mailing	111 Commercial Street 	Willits	95490		11/27/2006			
1SSO10019	Active	1	Cloverdale City	Cloverdale City CS	Sonoma	Jay Robinson	AGENCY Mailing	 PO Box 217  	Cloverdale	95425		11/17/2006			
1SSO10020	Active	1	College of the Redwoods	College Of The Redwoods, CS	Humboldt	Garry Randall Patrick	AGENCY Billing	 PO Box 309  	Eureka	95501		01/02/2007			
1SSO10021	Active	1	Covelo CSD	Covelo City CS	Mendocino	Timothy Dennis	AGENCY Mailing	 PO Box 65  	Covelo	95428	05/02/2006	07/11/2006	05/02/2011		
1SSO10022	Active	1	Crescent City	Crescent City CS	Del Norte	Eric M Wier	AGENCY Mailing	377 J Street 	Crescent City	95531		07/11/2006			
1SSO10023	Active	1	Del Norte County	Del Norte County CSA CS	Del Norte	James  Barnts	AGENCY Mailing	981 H Street 	Crescent City	95531		11/20/2007			
1SSO10024	Active	1	Dorris City	Dorris City CS	Siskiyou	Rick  Bay	AGENCY Mailing	 PO Box 768  	Dorris	96023		10/11/2007			
1SSO10025	Active	1	Etna City	Etna CS	Siskiyou	Sarah Griggs	AGENCY Mailing	 PO Box 460  	Etna	96027	05/02/2006	01/02/2007	05/02/2011		
1SSO10027	Active	1	Ferndale City	Ferndale City CS	Humboldt	Steve  Coppini	AGENCY Physical	834 Main Street 	Ferndale	95536		07/11/2006			
1SSO10028	Active	1	Forestville Water District	Forestville Water District CS	Sonoma	Matthew Froneberger	AGENCY Mailing	 PO Box 261  	Forestville	95436		08/29/2006			
1SSO10030	Active	1	Fort Jones City	Fort Jones City CS	Siskiyou	Ken Smith	AGENCY Mailing	 PO Box 40  	Fort Jones	96032		01/02/2007			
1SSO10031	Active	1	Fortuna City	Fortuna City CS	Humboldt	Douglas  Culbert	AGENCY Mailing	 PO Box 545  	Fortuna	95540		01/02/2007			
1SSO10032	Active	1	Garberville Sanitary District	Garberville CS	Humboldt	Ralph Emerson	AGENCY Mailing	 PO Box 211  	Garberville	95542		10/10/2006			
1SSO10033	Active	1	Graton CSD	Graton CSD Graton CSA No. 2 CS	Sonoma	John Gibson	AGENCY Mailing	 PO Box 534  	Graton	95444	05/02/2006	01/03/2007	05/02/2011		
1SSO10035	Active	1	Gualala CSD	Gualala CS	Mendocino	Joseph Wilson	AGENCY Mailing	 PO Box 124  	Gualala	95445		11/17/2006			
1SSO10036	Active	1	Happy Camp Sanitation District	Happy Camp SD CS	Siskiyou	Clifford Gould	AGENCY Mailing	 PO Box 378  	Happy Camp	96039		10/30/2006			
1SSO10037	Active	1	Healdsburg City	Healdsburg City CS	Sonoma	David Hambly	AGENCY Mailing	401 Grove Street 	Healdsburg	95448		11/27/2006			
1SSO10038	Active	1	Hopland Public Utility District	Hopland PUD CS	Mendocino	David Redding	AGENCY Physical	25 Center Drive 	Hopland	95449		10/10/2007			
1SSO10040	Active	1	Klamath CSD Del Norte Community Development	Klamath CSD CS	Del Norte	Margaret Caldwell	AGENCY Mailing	 PO Box 430  	Klamath	95548		11/02/2006			
1SSO10041	Active	1	Lake Shastina CSD	Lake Shastina Csd CS	Siskiyou	Michael Colombo	AGENCY Mailing	16309 Everhart Drive 	Weed	96094		08/16/2006			
1SSO10042	Active	1	Loleta CSD	Loleta CS	Humboldt	Marcus Drumm	AGENCY Physical	358 Main Street 	Loleta	95551		10/19/2006			
1SSO10043	Active	1	Manila CSD	Manila Csd CS	Humboldt	Christopher  Drop	AGENCY Mailing	1901 Park Street 	Arcata	95521		08/17/2006			
1SSO10044	Active	1	McKinleyville Community Service	Mckinleyville CS	Humboldt	Greg  Orsini	AGENCY Mailing	 PO Box 2037  	Mckinleyville	95519		10/11/2006			
1SSO10045	Active	1	Mendocino City CSD	Mendocino City CSD CS	Mendocino	Michael Kelley	AGENCY Mailing	 PO Box 1029  	Mendocino	95460		09/05/2006			
1SSO10047	Active	1	Miranda CSD	Miranda CS	Humboldt	Don  Ristow	AGENCY Mailing	 PO Box 160  	Miranda	95553		10/25/2006			
1SSO10048	Active	1	Montague City	Montague CS	Siskiyou	David Eugene Dunn	AGENCY Mailing	 PO Box 428  	Montague	96064		07/11/2006			
1SSO10051	Historical	1	Newell CWD	Newell CWD CS	Siskiyou		AGENCY Mailing	405 Fifth Avenue 	Tulelake	96134				09/29/2008	
1SSO10052	Active	1	North Marin County Water District	Oceana Marin (North Marin CWD) CS	Marin	Robert Clark	AGENCY Mailing	 PO Box 146  	Novato	94948		10/30/2006			
1SSO10053	Active	1	Point Arena City	Point Arena Wastewater Trt.Plt CS	Mendocino	Hunter  Alexander	AGENCY Mailing	 PO Box 67  	Point Arena	95468		07/20/2006			
1SSO10055	Active	1	Redway CSD	Redway CS	Humboldt	Douglas Roy Esget	AGENCY Physical	1150 Evergreen Road 2	Redway	95560		11/03/2006			
1SSO10056	Historical	1	Redwood Park CSD	Redwood Park CS	Del Norte		AGENCY Mailing	 PO Box 650  	Klamath	95548				09/29/2008	
1SSO10058	Active	1	Rio Dell City	Rio Dell City CS	Humboldt	Cameron Yaple	AGENCY Mailing	675 Wildwood Avenue 	Rio Dell	95562		11/02/2006			
1SSO10062	Active	1	Sonoma County Water Agency (SCWA) R1	SCWA Airport CS	Sonoma	David Hamilton Royall	AGENCY Physical	404 Aviation Boulevard 	Santa Rosa	95403		10/16/2006			
1SSO10063	Active	1	Sonoma County Water Agency (SCWA) R1	SCWA Geyserville Csd CS	Sonoma	David Hamilton Royall	AGENCY Physical	404 Aviation Boulevard 	Santa Rosa	95403		10/16/2006			
1SSO10064	Active	1	Sonoma County Water Agency (SCWA) R1	SCWA Occidental CSD CS	Sonoma	David Hamilton Royall	AGENCY Physical	404 Aviation Boulevard 	Santa Rosa	95403		10/16/2006			
1SSO10065	Active	1	Sonoma County Water Agency (SCWA) R1	SCWA Oceanic Prop. Central Plant CS	Sonoma	David Hamilton Royall	AGENCY Physical	404 Aviation Boulevard 	Santa Rosa	95403		10/16/2006			
1SSO10066	Active	1	Sonoma County Water Agency (SCWA) R1	SCWA Oceanic Prop. North Plant CS	Sonoma	David Hamilton Royall	AGENCY Physical	404 Aviation Boulevard 	Santa Rosa	95403		10/16/2006			
1SSO10067	Active	1	Sonoma County Water Agency (SCWA) R1	SCWA Russian River CSD CS	Sonoma	David Hamilton Royall	AGENCY Physical	404 Aviation Boulevard 	Santa Rosa	95403		10/16/2006			
1SSO10068	Active	1	Humboldt County Resort Improvement District #1	Shelter Cove CS	Humboldt	Robert Kenneth Cole	AGENCY Mailing	9126 Shelter Cove Road 	Whitethorn	95589		04/23/2007			
