WDID	Status	SSOq Population Served	Last Updated	Dev Plan Schedule DT	Goal DT	Org DT	Legal Auth DT	Operation Maint DT	Design Perf Prov DT	Overflow Emerg Resp Plan DT	Fog Cntl Program DT	Sys Eval Cap Assur Plan	Monit Meas Program Modi DT	SSMP Program Audit DT	Commun Program DT	Complete SSMP Impl DT	Five Year Update DT	Note	Url	SSMP Uploaded	
1SSO10001	Active	16,000	06/10/2015	07/06/2012	07/06/2012	07/06/2012	07/06/2012	07/06/2012	07/06/2012	07/06/2012	07/06/2012	07/06/2012	07/06/2012	07/06/2012	07/06/2012	07/06/2012			http://arcata.granicus.com/MediaPlayer.php?view_id=8&clip_id=1308&meta_id=78291	Yes	
1SSO10003	Active	2,625	02/15/2011	05/01/2008	05/01/2008	05/01/2008	02/01/2010	02/01/2010	08/01/2010	02/01/2010	02/01/2010	08/01/2010	08/01/2010	08/01/2010	08/01/2010	08/01/2010				No	
1SSO10004	Active	450	10/17/2016	10/17/2016	10/17/2016	10/17/2016	10/17/2016	10/17/2016	10/17/2016	10/17/2016	10/17/2016	10/17/2016	10/17/2016	10/17/2016	10/17/2016	10/17/2016	10/17/2016			No	
1SSO10005	Historical																			No	
1SSO10006	Active	4,500	12/30/2014	01/30/2008	04/15/2008	04/15/2008	01/07/2010	01/07/2010	01/07/2010	01/07/2010	01/07/2010	01/07/2010	01/07/2010	01/07/2010	01/07/2010	01/07/2010	12/30/2014			Yes	
1SSO10011	Active	250	03/23/2011	03/23/2011	03/23/2011	03/23/2011	03/23/2011	03/23/2011	03/23/2011	03/23/2011	03/23/2011	03/23/2011	03/23/2011	03/23/2011	03/23/2011	03/23/2011	03/23/2016			No	
1SSO10012	Active	7,265	04/15/2010	12/04/2008	12/05/2008	12/05/2008	10/26/2009	10/26/2009	10/26/2009	10/26/2009	10/26/2009	10/26/2009	04/14/2010	04/14/2010	04/14/2010	04/14/2010				No	
1SSO10014	Active	50,000	08/01/2014	08/01/2014	08/01/2014	08/01/2014	08/01/2014	08/01/2014	08/01/2014	08/01/2014	08/01/2014	08/01/2014	08/01/2014	08/01/2014	08/01/2014	08/01/2014	08/01/2014			No	
1SSO10016	Active	40,794	08/18/2014	10/23/2007	10/23/2007	10/23/2007	03/01/2009	03/01/2009	03/01/2009	03/01/2009	03/01/2009	03/01/2009	03/01/2009	03/01/2009	10/23/2007	07/14/2009	07/14/2019		http://www.rpcity.org/Modules/ShowDocument.aspx?documentid=12137	Yes	
1SSO10017	Active	7,507	12/02/2010	08/03/2010	08/03/2010	08/03/2010	08/03/2010	08/03/2010	08/03/2010	08/03/2010	08/03/2010	08/03/2010	08/03/2010	08/03/2010	08/03/2010	08/03/2010				Yes	
